Provincia,Total Poblacion,Total Viviendas,Banda ancha fija,Promedio
Capital Federal,3120612,1640710,1545534,0.9419909673251214
Buenos Aires,17569053,6701808,4715469,0.7036114732024552
Catamarca,429556,159438,70292,0.44087356840903674
Chaco,1142963,402101,144141,0.35846963822522204
Chubut,603120,237133,164874,0.6952807074510928
Córdoba,3978984,1633904,1038600,0.6356554607859458
Corrientes,1197553,407035,144842,0.3558465488225828
Entre Ríos,1426426,560557,268937,0.4797674455942928
Formosa,606041,213173,68537,0.3215088214736388
Jujuy,797955,276548,118823,0.4296650129453115
La Pampa,366022,164242,115921,0.7057938895045116
La Rioja,384607,150182,86860,0.5783649172337564
Mendoza,2014533,710098,288746,0.4066283808713727
Misiones,1280960,467502,182157,0.3896389748065249
Neuquén,726590,274077,162693,0.5936032574787378
Río Negro,762067,296412,160010,0.5398229491383615
Salta,1440672,479199,204536,0.42682893745604644
San Juan,818234,265434,103118,0.38848828710715283
San Luis,540905,201610,121888,0.6045731858538763
Santa Cruz,333473,131881,49312,0.37391284567147653
Santa Fe,3556522,1460580,887700,0.6077722548576593
Santiago Del Estero,1054028,349058,119030,0.34100350085086145
Tierra Del Fuego,190641,67228,53584,0.7970488486939965
Tucumán,1703186,555801,263087,0.47334747508550723
