Provincia;Total  Poblacion;Total de viviendas particulares;Total de Viviendas Colectivas;Total Viviendas
Capital Federal;3.120.612;1.638.764;1.946;1.640.710
Buenos Aires;17.569.053;6.695.273;6.535;6.701.808
Catamarca;429.556;158.989;449;159.438
Chaco;1.142.963;401.658;443;402.101
Chubut;603.120;236.010;1.123;237.133
Córdoba;3.978.984;1.630.356;3.548;1.633.904
Corrientes;1.197.553;406.480;555;407.035
Entre Ríos;1.426.426;559.398;1.159;560.557
Formosa;606.041;212.941;232;213.173
Jujuy;797.955;276.222;326;276.548
La Pampa;366.022;163.805;437;164.242
La Rioja;384.607;149.910;272;150.182
Mendoza;2.014.533;708.354;1.744;710.098
Misiones;1.280.960;466.850;652;467.502
Neuquén;726.590;273.685;392;274.077
Río Negro;762.067;295.502;910;296.412
Salta;1.440.672;478.433;766;479.199
San Juan;818.234;265.047;387;265.434
San Luis;540.905;201.271;339;201.610
Santa Cruz;333.473;131.395;486;131.881
Santa Fe;3.556.522;1.458.652;1.928;1.460.580
Santiago Del Estero;1.054.028;348.705;353;349.058
Tierra Del Fuego;190.641;67.091;137;67.228
Tucumán;1.703.186;555.419;382;555.801
